"sa4_code","sa4_name","ra_code","ra_name","ra_area","remoteness"
"101","Capital Region","12","Outer Regional Australia",30640070121.7242,"Outer Regional/Remote"
"102","Central Coast","11","Inner Regional Australia",1144458618.54622,"Inner Regional"
"103","Central West","12","Outer Regional Australia",46312352098.4473,"Outer Regional/Remote"
"104","Coffs Harbour - Grafton","12","Outer Regional Australia",7611267041.95271,"Outer Regional/Remote"
"105","Far West and Orana","14","Very Remote Australia",190736847240.577,"Outer Regional/Remote"
"106","Hunter Valley exc Newcastle","12","Outer Regional Australia",12629828372.7303,"Outer Regional/Remote"
"107","Illawarra","11","Inner Regional Australia",1143967869.51062,"Inner Regional"
"108","Mid North Coast","11","Inner Regional Australia",10023309342.2902,"Inner Regional"
"109","Murray","13","Remote Australia",60233399675.1208,"Outer Regional/Remote"
"110","New England and North West","12","Outer Regional Australia",82777893713.3981,"Outer Regional/Remote"
"111","Newcastle and Lake Macquarie","10","Major Cities of Australia",641717732.395348,"Major Cities"
"112","Richmond - Tweed","11","Inner Regional Australia",6898342341.69945,"Inner Regional"
"113","Riverina","12","Outer Regional Australia",38113577926.0663,"Outer Regional/Remote"
"114","Southern Highlands and Shoalhaven","11","Inner Regional Australia",6704961161.54123,"Inner Regional"
"115","Sydney - Baulkham Hills and Hawkesbury","11","Inner Regional Australia",1871772337.98299,"Inner Regional"
"116","Sydney - Blacktown","10","Major Cities of Australia",240884222.074042,"Major Cities"
"117","Sydney - City and Inner South","10","Major Cities of Australia",66103492.2073827,"Major Cities"
"118","Sydney - Eastern Suburbs","10","Major Cities of Australia",57735544.9666383,"Major Cities"
"119","Sydney - Inner South West","10","Major Cities of Australia",163927700.820568,"Major Cities"
"120","Sydney - Inner West","10","Major Cities of Australia",64546859.0209376,"Major Cities"
"121","Sydney - North Sydney and Hornsby","10","Major Cities of Australia",202071055.645616,"Major Cities"
"122","Sydney - Northern Beaches","10","Major Cities of Australia",208617827.257138,"Major Cities"
"123","Sydney - Outer South West","11","Inner Regional Australia",888572786.395863,"Inner Regional"
"124","Sydney - Outer West and Blue Mountains","11","Inner Regional Australia",3350215081.44094,"Inner Regional"
"125","Sydney - Parramatta","10","Major Cities of Australia",162838342.852977,"Major Cities"
"126","Sydney - Ryde","10","Major Cities of Australia",69334652.9559744,"Major Cities"
"127","Sydney - South West","10","Major Cities of Australia",454586938.313391,"Major Cities"
"128","Sydney - Sutherland","11","Inner Regional Australia",166188377.400872,"Inner Regional"
"201","Ballarat","21","Inner Regional Australia",9550450745.80174,"Inner Regional"
"202","Bendigo","21","Inner Regional Australia",7163993320.67283,"Inner Regional"
"203","Geelong","21","Inner Regional Australia",4084119309.43887,"Inner Regional"
"204","Hume","21","Inner Regional Australia",17494559022.1625,"Inner Regional"
"205","Latrobe - Gippsland","22","Outer Regional Australia",23490424079.5708,"Outer Regional/Remote"
"206","Melbourne - Inner","20","Major Cities of Australia",142454808.885737,"Major Cities"
"207","Melbourne - Inner East","20","Major Cities of Australia",146743122.639791,"Major Cities"
"208","Melbourne - Inner South","20","Major Cities of Australia",161497852.961385,"Major Cities"
"209","Melbourne - North East","21","Inner Regional Australia",1230726184.36519,"Inner Regional"
"210","Melbourne - North West","21","Inner Regional Australia",1078165132.57563,"Inner Regional"
"211","Melbourne - Outer East","21","Inner Regional Australia",1208480459.57222,"Inner Regional"
"212","Melbourne - South East","20","Major Cities of Australia",985876284.893134,"Major Cities"
"213","Melbourne - West","20","Major Cities of Australia",836617439.004698,"Major Cities"
"214","Mornington Peninsula","20","Major Cities of Australia",605317883.253871,"Major Cities"
"215","North West","22","Outer Regional Australia",62928347911.9303,"Outer Regional/Remote"
"216","Shepparton","21","Inner Regional Australia",10060123276.7214,"Inner Regional"
"217","Warrnambool and South West","22","Outer Regional Australia",18860732965.0951,"Outer Regional/Remote"
"301","Brisbane - East","30","Major Cities of Australia",323222550.667065,"Major Cities"
"302","Brisbane - North","30","Major Cities of Australia",186949139.614468,"Major Cities"
"303","Brisbane - South","30","Major Cities of Australia",265346549.190809,"Major Cities"
"304","Brisbane - West","30","Major Cities of Australia",208856554.904904,"Major Cities"
"305","Brisbane Inner City","30","Major Cities of Australia",81738078.5707766,"Major Cities"
"306","Cairns","33","Remote Australia",12300200793.0317,"Outer Regional/Remote"
"307","Darling Downs - Maranoa","33","Remote Australia",72072003038.3771,"Outer Regional/Remote"
"308","Central Queensland","33","Remote Australia",63484140388.9208,"Outer Regional/Remote"
"309","Gold Coast","31","Inner Regional Australia",972213128.293259,"Inner Regional"
"310","Ipswich","31","Inner Regional Australia",6128474592.64031,"Inner Regional"
"311","Logan - Beaudesert","31","Inner Regional Australia",1763560464.65933,"Inner Regional"
"312","Mackay - Isaac - Whitsunday","33","Remote Australia",55178723245.3923,"Outer Regional/Remote"
"313","Moreton Bay - North","32","Outer Regional Australia",2041519547.46999,"Outer Regional/Remote"
"314","Moreton Bay - South","31","Inner Regional Australia",460355870.56374,"Inner Regional"
"315","Queensland - Outback","34","Very Remote Australia",1169085740279.88,"Outer Regional/Remote"
"316","Sunshine Coast","31","Inner Regional Australia",2220896456.51967,"Inner Regional"
"317","Toowoomba","31","Inner Regional Australia",2258794935.17358,"Inner Regional"
"318","Townsville","33","Remote Australia",45331455245.8161,"Outer Regional/Remote"
"319","Wide Bay","32","Outer Regional Australia",28449916622.8229,"Outer Regional/Remote"
"401","Adelaide - Central and Hills","41","Inner Regional Australia",1195440196.95016,"Inner Regional"
"402","Adelaide - North","40","Major Cities of Australia",622942589.857979,"Major Cities"
"403","Adelaide - South","40","Major Cities of Australia",449227193.618291,"Major Cities"
"404","Adelaide - West","40","Major Cities of Australia",159539490.07793,"Major Cities"
"405","Barossa - Yorke - Mid North","42","Outer Regional Australia",29516645718.6089,"Outer Regional/Remote"
"406","South Australia - Outback","44","Very Remote Australia",763414469057.57,"Outer Regional/Remote"
"407","South Australia - South East","42","Outer Regional Australia",42891215136.4431,"Outer Regional/Remote"
"501","Bunbury","52","Outer Regional Australia",12021105458.4306,"Outer Regional/Remote"
"502","Mandurah","51","Inner Regional Australia",837476227.658572,"Inner Regional"
"503","Perth - Inner","50","Major Cities of Australia",92254006.2603074,"Major Cities"
"504","Perth - North East","51","Inner Regional Australia",1148675511.31203,"Inner Regional"
"505","Perth - North West","50","Major Cities of Australia",510829480.87247,"Major Cities"
"506","Perth - South East","51","Inner Regional Australia",1147068496.75606,"Inner Regional"
"507","Perth - South West","50","Major Cities of Australia",571848441.081716,"Major Cities"
"509","Western Australia - Wheat Belt","53","Remote Australia",106440021228.318,"Outer Regional/Remote"
"510","Western Australia - Outback (North)","54","Very Remote Australia",925206207986.284,"Outer Regional/Remote"
"511","Western Australia - Outback (South)","54","Very Remote Australia",1306512732643.28,"Outer Regional/Remote"
