"analysis_group","n_obs","n_sa4","n_weeks","total_rx","mean_count","sd_count","median_count","iqr_lo","iqr_hi","min_count","max_count","pct_zero","label"
"cvd_total",43472,88,494,992090252,22821.4,11338.1,20650,14556,29914,1419,100596,0,"Cardiovascular (total)"
"cvd_antithrombotic",43472,88,494,94786467,2180.4,1070.4,1991.5,1370,2881,113,7947,0,"CVD: Antithrombotic"
"cvd_bp_lowering",43472,88,494,547194080,12587.3,6182.1,11373,8144.75,16431,856,55810,0,"CVD: BP Lowering"
"cvd_lipid_modifying",43472,88,494,295800751,6804.4,3514.8,6181,4253,8897,386,31249,0,"CVD: Lipid Modifying"
"cvd_other",43472,88,494,54308614,1249.3,654,1106,799,1644.25,39,5591,0,"CVD: Other"
"mh_total",43472,88,494,356394062,8198.2,4139.5,7350,5363,10585.25,558,27803,0,"Mental Health (total)"
"mh_antidepressants",43472,88,494,250679612,5766.5,2882.6,5166,3798,7400,422,20073,0,"MH: Antidepressants"
"mh_anxiolytics",43472,88,494,33357967,767.3,490.6,639,423,1022,25,3005,0,"MH: Anxiolytics"
"mh_other",43472,88,494,72356105,1664.4,902.4,1525,1004,2170,95,6125,0,"MH: Other"
"resp_total",43472,88,494,123419222,2839.1,1495.8,2521,1835,3685,164,17952,0,"Respiratory (total)"
"resp_relievers",43472,88,494,35536325,817.5,503.6,697,483,1062,28,6486,0,"Resp: Relievers"
"resp_preventers",43472,88,494,58767969,1351.9,715.3,1215,849,1759,94,9325,0,"Resp: Preventers"
"resp_copd_other",43472,88,494,29115620,669.8,345.3,607,435.75,873,23,2670,0,"Resp: COPD/Other"
"resp_oral_corticosteroids",43472,88,494,32895361,756.7,424.6,669,480.75,968,32,5743,0,"Resp: Oral Corticosteroids"
