"group","quintile","temp_ref","temp_p95","rr_p95","rr_p95_lo","rr_p95_hi","temp_p99","rr_p99","rr_p99_lo","rr_p99_hi","n_obs","n_sa4","dispersion","label","quintile_label"
"cvd_total",1,24,36.5,1.0183,1.0005,1.0365,39.1,1.0442,1.0176,1.0714,8398,17,68.65,"Cardiovascular","Q1 (Most disadvantaged)"
"cvd_total",2,24.1,33.8,1.0118,0.9969,1.0269,37,1.0246,1.0023,1.0473,6916,14,65.99,"Cardiovascular","Q2"
"cvd_total",3,22.2,32.5,1.004,0.9882,1.0202,34.9,1.0023,0.9807,1.0244,6916,14,91.93,"Cardiovascular","Q3"
"cvd_total",4,21.9,32.5,1.0004,0.9857,1.0153,34.6,0.9887,0.9666,1.0112,7904,16,90.83,"Cardiovascular","Q4"
"cvd_total",5,21.7,29.7,0.9968,0.9766,1.0173,32.2,1.0001,0.9733,1.0276,3952,8,92.29,"Cardiovascular","Q5 (Least disadvantaged)"
"mh_total",1,24,36.5,1.0119,0.9958,1.0284,39.1,1.0296,1.0062,1.0535,8398,17,18.96,"Mental Health","Q1 (Most disadvantaged)"
"mh_total",2,24.1,33.8,0.991,0.9773,1.0049,37,1.0055,0.9852,1.0263,6916,14,20.85,"Mental Health","Q2"
"mh_total",3,22.2,32.5,1.002,0.9883,1.0159,34.9,0.9978,0.9792,1.0167,6916,14,25.41,"Mental Health","Q3"
"mh_total",4,21.9,32.5,1.0059,0.9929,1.0192,34.6,0.995,0.9754,1.015,7904,16,27.85,"Mental Health","Q4"
"mh_total",5,21.7,29.7,0.9955,0.9753,1.0162,32.2,1.0064,0.9793,1.0342,3952,8,34.27,"Mental Health","Q5 (Least disadvantaged)"
"resp_total",1,24,36.5,0.92,0.8923,0.9487,39.1,0.9404,0.8992,0.9836,8398,17,27.37,"Respiratory","Q1 (Most disadvantaged)"
"resp_total",2,24.1,33.8,0.8976,0.8728,0.9231,37,0.8924,0.8559,0.9304,6916,14,29.7,"Respiratory","Q2"
"resp_total",3,22.2,32.5,0.8924,0.8652,0.9206,34.9,0.8728,0.8364,0.9108,6916,14,42.13,"Respiratory","Q3"
"resp_total",4,21.9,32.5,0.8998,0.8722,0.9283,34.6,0.8438,0.8041,0.8854,7904,16,44.27,"Respiratory","Q4"
"resp_total",5,21.7,29.7,0.8835,0.8467,0.9219,32.2,0.8366,0.7893,0.8867,3952,8,42.71,"Respiratory","Q5 (Least disadvantaged)"
