"source","outcome","comparison","rr","rr_lo","rr_hi","e_point","e_ci"
"Primary DLNM","Cardiovascular","p95 vs median",1.0041,0.9971,1.0111,1.07,1
"Primary DLNM","Mental Health","p95 vs median",1.0033,0.9969,1.0098,1.06,1
"Primary DLNM","Respiratory","p95 vs median",0.9104,0.8982,0.9227,1.43,1.39
"Primary DLNM","Antidepressants","p95 vs median",0.9993,0.9932,1.0054,1.03,1
"Primary DLNM","Anxiolytics","p95 vs median",1.0072,0.9967,1.0178,1.09,1
"Primary DLNM","Resp. Relievers","p95 vs median",0.8682,0.853,0.8837,1.57,1.52
"Primary DLNM","Resp. Preventers","p95 vs median",0.8975,0.8848,0.9105,1.47,1.43
"Bushfire DiD","All Respiratory","High smoke vs low",1.0619,1.0463,1.0777,1.32,1.27
"Bushfire DiD","Relievers","High smoke vs low",1.0934,1.0728,1.1143,1.41,1.35
"Bushfire DiD","Preventers","High smoke vs low",1.0708,1.0545,1.0873,1.35,1.29
"Bushfire DiD","COPD/Other","High smoke vs low",1.0129,1.0002,1.0258,1.13,1.01
"Primary DLNM","Respiratory","p99 vs median",0.8928,0.8716,0.9145,1.49,1.41
