"group","label","spec","spec_key","max_lag","n_cb_params","rr_p95","rr_p95_lo","rr_p95_hi","dispersion","qaic"
"cvd_total","Cardiovascular","Primary (ns lag, 0-12w)","primary",12,20,1.0041,0.9971,1.0111,81.09,34233.5
"cvd_total","Cardiovascular","Unconstrained (indicator, 0-12w)","unconstrained",12,52,1.0048,0.9978,1.0118,80.42,34277.4
"cvd_total","Cardiovascular","Polynomial DL (degree 3, 0-12w)","poly3",12,16,1.0044,0.9974,1.0114,81.07,34229.7
"cvd_total","Cardiovascular","Shorter lag (ns, 0-8w)","short_lag",8,16,0.9981,0.992,1.0042,81.18,34231.6
"cvd_total","Cardiovascular","Longer lag (ns, 0-16w)","long_lag",16,20,0.9859,0.9782,0.9936,80.75,34228.8
"mh_total","Mental Health","Primary (ns lag, 0-12w)","primary",12,20,1.0033,0.9969,1.0098,25.09,34569.4
"mh_total","Mental Health","Unconstrained (indicator, 0-12w)","unconstrained",12,52,1.0037,0.9973,1.0101,24.91,34615.9
"mh_total","Mental Health","Polynomial DL (degree 3, 0-12w)","poly3",12,16,1.0033,0.9969,1.0097,25.1,34566.9
"mh_total","Mental Health","Shorter lag (ns, 0-8w)","short_lag",8,16,1.0007,0.9951,1.0064,25.12,34570.1
"mh_total","Mental Health","Longer lag (ns, 0-16w)","long_lag",16,20,0.9899,0.9828,0.9971,25.02,34562.2
"resp_total","Respiratory","Primary (ns lag, 0-12w)","primary",12,20,0.9104,0.8982,0.9227,37.05,31556.2
"resp_total","Respiratory","Unconstrained (indicator, 0-12w)","unconstrained",12,52,0.9114,0.8992,0.9237,36.65,31691.5
"resp_total","Respiratory","Polynomial DL (degree 3, 0-12w)","poly3",12,16,0.9109,0.8987,0.9233,37.06,31549.5
"resp_total","Respiratory","Shorter lag (ns, 0-8w)","short_lag",8,16,0.8936,0.883,0.9043,37.07,31574.1
"resp_total","Respiratory","Longer lag (ns, 0-16w)","long_lag",16,20,0.9024,0.8888,0.9162,36.9,31559.5
