"group","label","resolution","rr_p95","rr_p95_lo","rr_p95_hi"
"cvd_total","Cardiovascular","LGA monthly",1.0089,0.9918,1.0263
"cvd_total","Cardiovascular","SA4 weekly",1.0041,0.9971,1.0111
"mh_antidepressants","Antidepressants","LGA monthly",1.0011,0.9886,1.0138
"mh_antidepressants","Antidepressants","SA4 weekly",0.9993,0.9932,1.0054
"mh_anxiolytics","Anxiolytics/Psycholeptics","LGA monthly",0.9832,0.9655,1.0012
"mh_anxiolytics","Anxiolytics","SA4 weekly",1.0072,0.9967,1.0178
"mh_total","Mental Health","SA4 weekly",1.0033,0.9969,1.0098
"resp_preventers","Resp. Preventers","SA4 weekly",0.8975,0.8848,0.9105
"resp_relievers","Resp. Relievers","SA4 weekly",0.8682,0.853,0.8837
"resp_total","Respiratory","LGA monthly",0.9326,0.9155,0.9501
"resp_total","Respiratory","SA4 weekly",0.9104,0.8982,0.9227
